amfi_code,sortino_ratio
100016,-0.3510474601523089
100025,-0.9418212366054204
100033,1.8291339615146942
101206,1.799562874698452
101207,0.27664379626092334
101208,-1.681037866751281
102885,1.4357420130649492
102886,-0.34722230254727265
102887,1.0887552508030016
118632,1.850132546855726
118633,1.154475716923624
118634,0.7460146308533572
118635,1.137976718780742
118636,-0.6135251287271023
119092,0.05257398559304803
119093,0.22108683979276353
119094,1.7037974802463003
119095,-0.12818559275851926
119120,-0.37676700817066683
119551,2.140267129061793
119552,1.609776489628308
119598,1.6753165700125519
119599,-0.09438726129459606
120503,1.3379431500669237
120504,1.8052937940992548
120505,2.0293529404657464
120506,1.0958951614736467
120507,1.0521238822609291
120841,0.8625738849916581
120842,0.12469346986475674
120843,2.3643200321667184
120844,-0.1877230477424223
125497,1.3306512447571364
125498,0.5088128197169232
148567,2.3856443733688186
148568,1.632740977873516
148569,2.146913926346055
149322,0.7621288703723166
149323,1.8751010639192083
149324,1.6197931764914093
